ID;ILSF1AR1;ILSF2SI1;ILSF3VV1;ILSF4SG1;ILSF5AR2;ILSF6SI2;ILSF7VV2;ILSF8SG2;ILSF9AR3;ILSF10SI3;ILSF11VV3;ILSF12SG3;ILSF13AR4;ILSF14SI4;ILSF15VV4;ILSF16SG4;ILSF17AR5;ILSF18SI5;ILSF19VV5;ILSF20SG5;ILSF21AR6;ILSF22SI6;ILSF23VV6;ILSF24SG6;ILSF25AR7;ILSF26SI7;ILSF27VV7;ILSF28SG7;ILSF29AR8;ILSF30SI8;ILSF31VV8;ILSF32SG8;ILSF33AR9;ILSF34SI9;ILSF35VV9;ILSF36SG9;ILSF37AR10;ILSF38SI10;ILSF39VV10;ILSF40SG10;ILSF41AR11;ILSF42SI11;ILSF3VV11;ILSF44SG11
1;a;a;a;a;a;a;a;b;a;a;a;a;a;a;a;a;b;a;a;b;b;b;a;b;a;a;a;b;a;a;a;b;b;a;a;b;a;a;a;a;b;b;a;b
2;a;a;a;b;a;a;b;a;b;a;b;a;b;a;b;b;b;a;a;a;a;a;a;a;b;a;a;b;a;a;a;a;b;a;a;b;a;a;a;b;a;b;b;b
3;a;a;a;b;a;a;a;a;a;a;a;a;a;a;b;a;a;a;a;a;a;b;a;b;b;a;a;b;a;a;a;a;a;a;b;b;a;a;a;b;a;b;a;b
4;a;b;b;a;a;b;b;b;a;a;b;a;a;a;b;a;a;b;a;a;a;a;a;a;b;a;b;a;a;a;b;b;a;a;b;b;b;a;a;b;a;a;a;b
5;a;a;a;b;a;a;a;a;a;a;a;a;a;a;b;a;a;a;a;b;b;a;a;b;a;a;b;b;a;a;a;b;a;a;b;b;a;a;a;b;b;a;a;a
6;b;a;a;b;b;a;a;b;a;b;b;a;a;b;b;b;b;a;a;b;a;b;a;b;b;b;a;b;a;a;a;a;a;a;a;b;a;b;a;a;a;b;a;a
7;b;b;a;b;b;b;a;a;b;b;a;b;a;b;a;b;b;a;a;b;b;b;a;b;b;a;a;b;b;b;a;b;b;b;a;a;b;b;a;b;b;b;a;a
8;b;a;a;a;a;a;a;b;a;b;a;b;a;b;a;a;b;a;a;b;b;a;a;b;a;b;a;b;a;a;a;b;a;a;a;b;b;a;b;b;b;b;a;a
9;a;b;a;b;a;a;a;a;b;b;b;b;b;a;a;b;a;a;a;b;b;b;a;b;a;a;a;b;a;a;a;a;b;b;a;a;a;b;a;b;b;b;a;b
10;a;b;b;a;b;a;a;b;a;b;a;a;a;b;b;a;b;a;a;b;b;b;a;a;a;a;a;b;a;a;a;b;b;a;a;b;a;a;a;b;b;a;a;b
11;a;;a;b;b;a;a;a;a;b;a;a;a;a;a;a;a;a;a;b;b;b;a;b;b;a;a;b;b;a;b;a;b;;a;b;a;a;;b;b;a;a;b
12;a;a;b;a;b;a;b;a;b;b;b;a;a;a;b;b;b;a;a;a;b;a;a;a;b;a;b;a;a;a;b;b;b;a;a;a;a;a;b;a;b;a;b;b
13;a;a;a;b;b;a;b;b;b;b;a;a;a;a;b;b;a;a;a;a;b;a;a;a;a;a;b;b;a;a;a;b;b;a;a;a;b;a;b;b;b;b;a;b
14;a;a;b;b;b;a;a;b;b;b;a;a;a;a;a;b;b;a;a;b;b;b;a;b;b;a;a;b;a;b;a;b;b;a;a;b;a;a;a;b;b;b;a;b
15;b;b;b;b;b;b;a;b;a;a;a;a;a;a;a;a;a;b;a;b;a;a;a;a;b;a;a;b;a;a;a;b;b;a;b;a;a;a;a;b;b;a;a;a
16;a;b;a;b;a;b;a;b;a;b;a;b;b;a;b;b;b;a;a;a;b;b;a;b;a;b;a;b;a;a;a;b;a;a;b;a;a;a;b;b;b;b;a;b
17;a;a;a;b;b;b;a;b;b;b;a;a;b;b;b;a;a;a;b;b;a;a;a;b;a;a;a;a;a;;a;b;a;a;b;b;b;b;a;b;a;b;a;a
18;a;a;a;b;b;a;a;b;b;b;a;a;b;a;a;;a;b;a;b;b;b;a;b;b;a;a;b;a;b;a;a;b;a;a;b;b;a;a;b;a;b;;b
19;a;a;b;b;b;a;a;a;b;a;b;a;b;a;a;b;b;a;a;a;b;a;a;b;b;a;a;a;a;a;a;a;b;a;b;a;b;a;a;a;a;b;a;a
20;a;a;a;b;a;b;b;a;a;b;a;a;b;a;b;a;a;a;a;a;a;a;a;b;a;a;a;a;a;a;a;a;a;a;a;a;a;b;a;a;b;a;a;b
21;a;a;a;a;b;a;a;a;b;a;a;a;b;a;b;a;b;a;a;a;b;a;a;a;b;a;a;b;b;a;a;b;b;a;a;a;b;a;a;a;a;b;a;
